"AZ Martinez","AZ","Sparkle","Cebu","B","22","-","1"
"Bianca de Vera","Bianca","Star Magic","Taguig","A","23","-","2"
"Brent Manalo","Brent","Star Magic","Tarlac","A","27","-","3"
"Dustin Yu","Dustin","Sparkle","Quezon City","B","23","-","4"
"Emilio Daez","Emilio","Star Magic","Pasig","A","25","e","5"
"Esnyr Ranollo","Esnyr","Star Magic","Davao del Sur","A","23","-","6"
"Josh Ford","Josh","Sparkle","United Kingdom","B","20","e","7"
"Klarisse de Guzman","Klarisse","Star Magic","Rizal","A","33","-","8"
"Michael Sager","Michael","Sparkle","Marinduque","B","22","e","9"
"Mika Salamanca","Mika","Sparkle","Pampanga","B","24","-","10"
"Ralph de Leon","Ralph","Star Magic","Cavite","A","24","-","11"
"River Joseph","River","Star Magic","Muntinlupa","A","26","-","12"
"Shuvee Etrata","Shuvee","Sparkle","Cebu","B","23","-","13"
"Vince Maristela","Vince","Sparkle","Rizal","B","25","e","14"
"Will Ashley","Will","Sparkle","Cavite","B","22","-","15"
"Xyriel Manabat","Xyriel","Star Magic","Rizal","A","21","e","16"
"Charlie Fleming","Charlie","Sparkle","Cagayan de Oro","B","16","-","17"
"Kira Balinger","Kira","Star Magic","Cavite","A","24","e","18"
"AC Bonifacio","AC","Star Magic","Canada","A","22","e","19"
"Ashley Ortega","Ashley","Sparkle","San Juan","B","26","e","20"
